fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,total_points,efficiency
34.7,25.0,69.9,4.1,1.9,0.4,0.4,1.3,0,4.864864864864865,0.17754981258630895
29.6,23.5,76.5,2.4,3.7,1.1,0.5,1.6,0,4.861111111111111,0.18071045022717885
42.2,24.4,67.0,2.2,1.0,0.5,0.3,1.0,0,14.23076923076923,0.9301156359979889
42.6,22.6,68.9,1.9,0.8,0.6,0.1,1.0,1,10.175438596491228,0.8771929824561403
52.4,0.0,67.4,2.5,0.3,0.3,0.4,0.8,1,10.666666666666666,0.9275362318840579
42.3,32.5,73.2,0.8,1.8,0.4,0.0,0.7,0,20.27027027027027,1.7780938833570412
43.5,50.0,81.1,2.0,0.6,0.2,0.1,0.7,1,9.393939393939394,0.8618293021962747
41.5,30.0,87.5,1.7,0.2,0.2,0.1,0.7,1,8.421052631578947,0.8175779253960143
39.2,23.3,71.4,0.8,2.3,0.3,0.0,1.1,0,27.083333333333336,2.7356902356902357
38.3,21.4,67.8,1.1,0.3,0.2,0.0,0.7,0,11.35135135135135,1.3354531001589824
36.5,33.3,81.8,0.9,0.7,0.1,0.1,0.3,0,15.217391304347828,2.2054190296156273
39.8,13.6,77.6,1.2,0.4,0.3,0.1,0.6,1,11.11111111111111,1.658374792703151
47.2,0.0,28.6,2.0,0.2,0.2,0.6,0.3,1,20.76923076923077,3.146853146853147
32.3,30.1,86.1,2.0,0.5,0.5,0.3,0.5,0,8.035714285714286,0.5252100840336135
53.7,0.0,50.0,1.4,0.2,0.2,0.4,0.6,1,18.333333333333336,2.8645833333333335
51.4,14.3,68.4,0.4,1.4,0.3,0.0,0.8,1,15.384615384615383,2.5220680958385877
37.6,0.0,64.2,1.2,0.2,0.3,0.2,0.5,0,23.333333333333332,4.40251572327044
34.8,21.4,73.1,0.3,1.0,0.3,0.0,0.4,0,24.11764705882353,5.742296918767507
49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,0,4.270833333333334,0.1148073476702509
49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,1,4.270833333333334,0.1148073476702509
52.5,11.1,65.4,8.0,2.4,1.1,0.8,2.2,1,5.594405594405594,0.17816578326132465
48.9,16.7,66.6,5.1,2.5,1.5,0.3,2.2,1,6.165413533834586,0.20214470602736348
37.5,13.3,73.0,2.9,2.2,2.0,0.2,2.0,1,7.169811320754717,0.23662743632853853
45.4,32.0,74.8,3.1,4.6,1.0,0.3,2.5,0,5.083333333333333,0.17173423423423423
53.3,0.0,62.5,5.2,0.4,0.5,0.5,1.0,0,5.079365079365079,0.3341687552213868
51.4,0.0,80.7,5.9,1.6,0.7,0.6,1.5,1,7.3076923076923075,0.24940929377789445
45.1,43.4,83.6,1.9,3.7,0.6,0.0,1.8,0,5.591397849462365,0.2272925955066002
41.5,0.0,73.6,5.1,1.7,0.8,0.5,1.3,1,8.636363636363635,0.38383838383838376
44.7,39.0,74.1,3.0,2.2,1.2,0.3,1.2,0,7.722772277227723,0.35103510351035105
49.7,0.0,66.7,5.4,0.8,0.5,0.5,1.5,1,6.071428571428571,0.29330572808833677
55.2,0.0,57.2,6.4,0.5,0.4,1.2,0.8,1,10.32258064516129,0.5085015096138567
52.9,0.0,51.5,6.1,0.7,0.4,1.5,1.4,1,5.288461538461538,0.26051534672224325
41.9,4.3,80.6,2.0,3.9,1.0,0.3,1.7,1,11.08108108108108,0.5653612796469939
52.8,0.0,66.9,5.7,0.7,0.8,1.1,1.8,1,5.274725274725275,0.2790859933717077
30.2,18.5,91.2,1.4,3.1,0.6,0.2,1.0,0,7.906976744186047,0.5900728913571677
40.0,35.7,83.3,2.0,1.1,0.8,0.1,1.1,1,4.9411764705882355,0.2656546489563567
37.0,14.5,74.1,1.7,3.8,0.7,0.1,1.2,1,14.909090909090908,0.8102766798418972
39.0,23.1,74.5,2.0,3.2,1.1,0.1,1.5,1,9.142857142857142,0.5378151260504201
52.9,0.0,69.1,4.2,0.4,0.6,0.8,1.1,1,10.81081081081081,0.6396929473852551
46.7,21.4,81.0,3.8,0.4,0.3,0.6,0.9,1,13.75,0.9105960264900662
41.7,37.5,76.1,1.5,1.5,0.7,0.2,0.8,0,13.414634146341465,0.9003110165329842
40.7,9.5,80.4,1.7,2.1,0.9,0.0,1.3,0,9.411764705882353,0.6359300476947536
39.9,27.0,87.5,1.5,2.8,0.9,0.0,1.4,0,10.2,0.7034482758620689
40.2,36.7,76.9,2.1,0.8,0.3,0.2,0.7,0,13.076923076923077,0.9906759906759907
42.3,0.0,80.3,1.3,1.9,0.6,0.1,1.3,1,15.65217391304348,1.262272089761571
45.2,100.0,82.1,2.7,0.6,0.5,0.3,0.6,1,19.166666666666668,1.6242937853107344
56.8,0.0,66.1,3.4,0.3,0.6,0.7,0.8,1,9.473684210526315,0.8383791336748951
30.3,36.6,66.7,0.7,1.5,0.7,0.1,1.3,0,5.853658536585367,0.5522319374137139
41.5,19.2,75.4,1.1,1.8,0.6,0.1,1.0,1,12.195121951219512,1.2703252032520327
45.6,0.0,65.5,1.2,1.1,0.6,0.2,0.8,1,16.47058823529412,1.7156862745098043
38.8,29.2,75.6,0.7,1.4,0.4,0.1,1.0,0,18.10810810810811,2.012012012012012
38.0,14.3,65.9,0.8,1.6,0.7,0.1,1.0,1,20.0,2.298850574712644
47.5,0.0,75.0,1.5,0.3,0.2,0.2,0.6,1,16.666666666666664,1.96078431372549
36.8,22.2,82.6,0.9,0.7,0.3,0.1,0.6,0,11.176470588235295,1.3629842180774752
43.9,0.0,52.5,1.9,0.3,0.1,0.1,0.8,0,15.000000000000002,1.8292682926829271
45.6,18.8,74.4,1.3,0.6,0.2,0.1,0.5,0,16.875,2.057926829268293
39.2,20.0,53.6,1.2,0.6,0.4,0.2,0.8,0,8.75,1.1986301369863015
44.3,18.2,81.0,1.1,0.3,0.2,0.1,0.5,0,13.214285714285715,1.8101761252446187
43.1,27.0,52.6,0.8,0.5,0.2,0.0,0.3,0,17.692307692307693,2.640642939150402
38.4,43.3,83.3,0.8,0.3,0.1,0.0,0.3,0,23.18181818181818,3.6221590909090904
38.0,0.0,75.6,1.2,0.3,0.1,0.1,0.5,0,18.18181818181818,3.4305317324185247
37.8,0.0,37.5,1.0,0.4,0.3,0.2,0.3,0,11.875,2.4739583333333335
35.3,11.8,66.7,0.6,0.6,0.1,0.0,0.5,0,27.69230769230769,6.440071556350626
42.2,27.3,73.6,8.8,4.0,1.4,1.1,2.9,1,4.388888888888889,0.11641615089890953
30.4,20.4,74.5,1.2,0.5,0.7,0.1,0.7,0,16.176470588235293,1.2348450830713964
46.7,34.2,73.1,10.3,2.2,1.0,1.3,2.9,1,4.021739130434783,0.11425395256916997
40.6,36.5,77.0,2.8,4.0,1.3,0.2,2.5,0,4.475524475524475,0.13359774553804402
42.5,37.4,75.0,2.9,1.6,0.8,0.3,1.6,1,5.222929936305733,0.18326069951949941
45.0,7.7,71.1,3.0,6.4,2.0,0.2,2.2,1,11.38888888888889,0.4156528791565288
51.2,0.0,72.2,7.9,0.3,0.6,1.5,0.9,1,11.408450704225352,0.44048072217086304
44.1,13.3,78.2,3.4,1.4,0.9,0.3,1.9,1,6.333333333333333,0.24934383202099739
46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,0,9.42528735632184,0.39769144963383296
46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,1,9.42528735632184,0.39769144963383296
32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,0,25.789473684210527,2.8032036613272315
32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,1,25.789473684210527,2.8032036613272315
45.0,14.3,83.5,3.2,3.7,1.3,0.5,2.0,1,7.454545454545454,0.3145377828922133
50.8,0.0,63.6,5.1,0.9,0.6,1.9,1.3,1,11.014492753623188,0.487366936001026
41.3,24.0,85.7,1.8,3.1,0.8,0.1,1.6,1,4.75177304964539,0.2111899133175729
43.9,9.7,70.7,2.1,2.5,0.4,0.2,1.6,0,7.954545454545454,0.38614298323036184
42.8,29.9,81.6,3.5,1.8,0.5,0.3,1.5,1,9.418604651162791,0.4594441293250142
49.7,40.0,84.3,3.3,1.4,0.6,0.3,0.9,1,4.583333333333333,0.23504273504273504
41.7,0.0,55.0,5.6,0.4,0.6,1.2,0.9,0,10.943396226415095,0.5670153485189168
41.9,25.0,79.6,1.7,1.3,0.3,0.1,1.0,0,9.722222222222221,0.5752794214332676
41.2,17.6,74.7,1.9,2.8,0.8,0.1,1.2,1,16.73469387755102,1.0142238713667284
38.0,29.2,77.3,1.9,1.2,0.5,0.1,1.2,0,8.98550724637681,0.554660941134371
42.5,0.0,67.2,4.3,0.4,0.2,0.3,1.4,0,12.580645161290322,0.7814065317571628
48.7,0.0,66.2,4.8,0.5,0.3,0.3,0.7,1,13.272727272727273,0.8243929983060417
49.2,0.0,63.2,5.2,0.3,0.5,0.4,1.0,1,13.962264150943398,0.8672213758349936
42.1,29.8,63.0,2.9,0.8,0.6,0.3,0.9,0,11.343283582089551,0.736576855979841
46.5,0.0,71.2,4.2,0.6,0.6,0.5,0.8,1,9.649122807017543,0.6475921346991639
44.6,18.2,58.8,1.5,2.8,0.7,0.2,1.6,0,8.392857142857144,0.586913086913087
44.1,40.0,72.2,2.1,0.9,0.4,0.1,1.0,1,4.567901234567901,0.3358750907770516
46.5,0.0,64.4,2.7,0.6,0.2,0.2,1.0,0,14.418604651162791,1.0841056128693827
38.4,16.1,80.5,1.0,1.3,0.5,0.1,0.9,0,15.897435897435898,1.2717948717948717
43.8,11.8,68.4,2.0,0.8,0.6,0.2,0.8,0,7.391304347826087,0.6211180124223602
41.3,0.0,55.6,1.4,1.0,0.4,0.0,0.8,1,9.230769230769232,0.7822685788787485
41.6,25.0,65.2,1.9,0.7,0.5,0.2,0.3,1,23.870967741935484,2.057842046718576
48.7,16.7,66.3,2.4,0.6,0.3,0.1,1.1,1,7.682926829268293,0.6623212783851977
34.8,27.3,64.3,2.2,0.8,0.5,0.2,0.3,0,14.999999999999998,1.3888888888888886
46.0,0.0,68.9,2.8,0.7,0.2,0.4,0.8,1,12.272727272727272,1.0957792207792207
40.8,27.8,73.2,1.1,1.2,0.5,0.1,0.7,0,19.210526315789476,1.7464114832535886
40.4,0.0,66.7,3.0,0.2,0.3,0.3,0.7,0,4.166666666666667,0.382262996941896
44.1,0.0,70.2,1.1,2.1,0.4,0.2,1.1,1,17.297297297297295,1.5869080089263572
41.5,0.0,80.0,0.8,1.9,0.5,0.1,0.8,0,16.47058823529412,1.553829078801332
39.1,0.0,69.6,1.2,1.0,0.3,0.1,0.8,0,20.0,1.8867924528301887
41.8,33.3,90.5,0.8,1.9,0.5,0.0,0.6,1,21.93548387096774,2.1718300862344297
40.3,37.5,75.8,1.4,0.7,0.3,0.0,0.5,0,16.20689655172414,1.620689655172414
44.7,50.0,66.1,2.1,0.3,0.2,0.1,0.8,1,14.857142857142858,1.5160349854227404
40.0,40.0,77.8,1.0,0.4,0.3,0.2,0.5,0,17.297297297297295,1.82076813655761
36.7,0.0,44.4,1.9,0.5,0.1,0.1,0.7,0,11.724137931034484,1.0855683269476373
43.9,0.0,55.0,2.9,0.4,0.1,0.7,0.8,1,11.052631578947368,1.1634349030470914
45.8,15.8,84.8,1.3,0.7,0.2,0.0,1.0,1,11.11111111111111,1.194743130227001
45.5,0.0,65.3,1.8,0.2,0.2,0.7,0.3,1,18.571428571428573,2.544031311154599
52.0,0.0,68.0,1.7,0.4,0.1,0.4,0.6,0,25.862068965517242,3.6945812807881775
42.0,24.0,48.0,1.7,0.5,0.4,0.3,0.3,1,17.727272727272727,2.606951871657754
51.0,50.0,71.4,1.9,0.3,0.2,0.3,0.5,1,20.4,3.090909090909091
37.3,0.0,54.5,1.5,0.1,0.1,0.1,0.1,0,40.0,6.451612903225806
51.3,0.0,90.5,1.2,0.2,0.1,0.1,0.1,1,26.0,4.482758620689656
53.1,0.0,73.2,12.0,2.0,1.7,3.9,3.1,1,3.3744855967078187,0.09219906001933931
35.3,25.8,55.2,1.4,0.4,0.3,0.1,0.2,0,9.117647058823529,0.8521165475536009
47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,0,5.374149659863946,0.15947031631643754
47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1,5.374149659863946,0.15947031631643754
44.0,0.0,66.4,8.4,1.2,1.1,0.7,2.1,1,7.387387387387387,0.21986271986271985
46.1,27.7,58.9,2.6,6.8,1.6,0.3,1.7,1,7.192982456140351,0.228348649401281
49.4,16.1,68.7,2.5,7.6,1.8,0.1,3.0,1,5.664335664335664,0.18571592342084145
44.6,0.0,76.8,5.8,1.1,0.8,0.7,1.2,1,6.299212598425197,0.2085831986233509
43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1,5.661764705882353,0.18872549019607845
43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,0,5.661764705882353,0.18872549019607845
37.1,22.5,77.8,2.8,4.2,1.6,0.3,2.2,1,4.9504950495049505,0.19567174108715218
48.1,11.1,86.6,3.7,1.9,0.6,0.2,1.4,1,8.1,0.32270916334661354
50.7,30.0,71.9,3.1,1.8,0.9,0.4,1.9,1,9.213483146067416,0.40058622374206154
44.9,13.3,57.4,2.9,0.3,0.2,0.4,0.4,0,13.513513513513512,1.2748597654258031
49.4,5.9,70.5,3.9,1.5,0.8,0.4,1.7,1,7.043478260869565,0.3201581027667984
50.4,0.0,72.7,4.7,1.1,0.5,0.7,1.4,1,9.213483146067416,0.42458447677730027
40.5,39.9,80.9,1.6,2.5,0.7,0.0,1.5,1,8.350515463917526,0.4154485305431605
41.1,13.3,70.5,2.3,0.6,0.6,0.2,0.7,0,10.952380952380953,0.5587949465500486
39.7,27.3,55.0,3.8,0.9,0.7,0.7,1.6,1,9.010989010989011,0.47177952937115236
47.9,0.0,66.7,3.4,1.0,0.4,0.2,1.1,0,9.01639344262295,0.5009107468123861
47.0,0.0,76.2,3.1,0.7,0.4,0.3,0.9,1,10.273972602739727,0.5739649498737278
49.7,0.0,72.2,5.0,0.6,0.3,0.2,0.7,0,8.275862068965518,0.48681541582150106
48.6,0.0,74.7,1.9,1.5,0.7,0.2,1.2,1,9.875,0.5877976190476191
39.5,38.5,69.2,3.4,0.2,0.2,0.4,0.4,0,7.575757575757576,0.7284382284382285
48.5,50.0,88.5,1.3,2.5,0.6,0.1,1.0,1,14.464285714285715,0.9097035040431267
46.6,0.0,62.1,3.6,0.4,0.4,0.4,1.1,1,13.404255319148936,0.9574468085106382
47.9,16.7,73.6,4.3,0.3,0.6,0.9,1.3,1,12.461538461538462,0.903010033444816
43.7,0.0,64.3,2.8,0.8,0.2,0.2,0.8,1,11.50943396226415,0.8719268153230417
40.6,14.3,68.0,1.2,1.9,0.3,0.1,0.8,0,9.347826086956523,0.7190635451505017
36.9,7.1,56.2,3.1,0.4,0.4,0.1,0.8,1,12.790697674418606,0.9915269515053182
54.7,25.0,67.1,2.1,0.6,0.6,0.2,0.5,0,14.390243902439027,1.1605035405192763
45.9,0.0,77.7,2.1,0.7,0.5,0.1,1.2,1,11.1864406779661,0.989950502474876
40.5,26.4,70.3,6.2,6.3,1.9,0.6,3.5,0,4.1916167664670665,0.12149613815846569
42.9,28.6,66.0,0.7,2.3,0.3,0.0,1.1,0,22.0,2.0
29.8,23.3,69.4,0.9,1.8,0.5,0.1,1.4,0,9.487179487179487,0.8703834391907787
38.4,18.8,66.1,0.9,2.5,0.5,0.0,1.1,1,21.612903225806452,2.1398914084956884
43.0,0.0,50.0,2.9,0.5,0.2,0.3,0.4,0,22.105263157894736,2.2556390977443606
47.3,35.7,67.0,1.5,0.9,0.6,0.0,0.8,0,9.615384615384615,0.9811616954474096
47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,0,13.0,1.368421052631579
47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,1,13.0,1.368421052631579
54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,0,11.884057971014492,0.5605687722176648
54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,1,11.884057971014492,0.5605687722176648
31.3,32.5,78.9,1.0,1.0,0.4,0.1,0.8,1,16.296296296296294,1.73364854215918
47.5,0.0,61.5,1.4,0.6,0.5,0.2,0.7,0,8.372093023255815,0.9513742071881607
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,20.689655172413794,2.3781212841854935
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,20.689655172413794,2.3781212841854935
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,0,20.689655172413794,2.3781212841854935
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,4.355828220858895,0.14328382305456894
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,4.355828220858895,0.14328382305456894
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,0,4.355828220858895,0.14328382305456894
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,9.714285714285714,1.1295681063122922
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,9.714285714285714,1.1295681063122922
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,0,9.714285714285714,1.1295681063122922
49.4,0.0,60.9,2.4,0.4,0.2,0.1,0.9,0,10.0,1.2048192771084336
38.0,33.0,90.3,3.0,5.7,0.6,0.1,1.9,0,5.46875,0.16931114551083593
36.8,25.0,61.5,1.2,0.4,0.3,0.1,0.4,0,28.5,3.7012987012987013
39.3,27.3,81.3,1.3,0.3,0.2,0.1,0.6,1,20.0,2.73972602739726
55.3,0.0,46.4,2.1,0.1,0.2,0.3,0.6,1,26.842105263157897,4.129554655870446
43.5,40.0,88.9,0.7,0.3,0.2,0.2,0.6,0,10.606060606060607,1.7106549364613883
23.8,16.7,76.5,0.6,1.3,0.3,0.0,0.5,0,43.63636363636363,7.655502392344497
33.3,0.0,50.0,1.1,0.1,0.1,0.3,0.1,0,30.000000000000004,6.122448979591837
33.8,28.6,80.0,0.6,0.3,0.1,0.0,0.6,0,18.0,4.186046511627907
37.5,25.0,69.2,1.1,0.0,0.1,0.4,0.3,0,9.545454545454545,2.328159645232816
46.8,36.7,81.0,5.9,4.2,1.0,0.2,3.4,1,3.590909090909091,0.10438689217758985
49.8,19.0,77.5,5.1,4.6,1.9,0.8,3.2,1,4.354838709677419,0.12884138194311892
41.9,32.7,78.0,4.1,4.1,1.6,0.5,3.2,0,5.797101449275362,0.18640197586094412
45.5,42.8,83.1,2.8,3.0,1.5,0.5,2.0,1,5.231788079470199,0.16048429691626379
42.5,27.0,74.6,3.3,4.4,1.8,0.3,3.1,1,5.72463768115942,0.19274874347338114
48.6,0.0,74.9,6.7,1.8,1.5,0.6,2.5,1,6.890756302521008,0.23201199671787906
41.4,31.4,79.5,2.5,2.3,0.9,0.3,1.5,1,4.437869822485207,0.14992803454341916
43.3,0.0,82.6,4.6,5.8,0.9,0.3,2.3,1,9.534883720930234,0.33931970537118267
45.7,36.6,71.7,5.2,1.6,1.3,0.8,2.5,1,5.390070921985815,0.19529242470963099
43.5,22.7,73.5,3.4,7.1,2.0,0.1,3.6,1,5.966386554621849,0.22016186548420105
43.2,24.8,74.5,2.6,3.8,1.1,0.1,2.3,1,6.752136752136752,0.25870255755313226
37.6,32.0,80.4,2.9,1.0,0.6,0.2,1.2,0,9.318181818181817,0.34899557371467477
41.9,32.9,61.4,3.9,2.4,1.2,0.3,0.9,1,6.279069767441861,0.25016214212915777
42.0,25.0,67.3,5.2,2.1,0.7,0.5,1.9,0,6.875,0.3096846846846847
45.0,40.6,78.9,3.1,1.3,0.6,0.3,1.3,0,5.818181818181818,0.2644628099173554
49.0,0.0,80.3,2.2,3.4,1.1,0.1,1.6,0,11.09375,0.5257701421800948
41.7,14.3,69.5,2.5,4.3,1.2,0.1,2.3,0,6.315789473684211,0.311122634171636
50.1,0.0,57.1,4.5,1.0,1.0,0.3,1.2,0,8.783783783783784,0.47479912344777214
47.5,30.0,85.0,2.1,2.6,0.8,0.2,1.0,1,11.267605633802818,0.577825929938606
46.7,20.0,69.2,1.5,3.7,0.8,0.1,1.7,0,4.705882352941177,0.243828101188662
43.7,20.8,78.3,3.2,1.0,0.6,0.1,1.7,0,8.709677419354838,0.4584040747028862
43.4,22.5,78.6,2.3,1.5,0.5,0.1,1.6,1,6.956521739130435,0.3822264691829909
46.4,0.0,59.6,2.3,1.1,0.5,0.4,0.4,1,12.678571428571429,0.7546768707482993
46.7,32.2,74.5,2.0,3.9,1.2,0.0,1.8,1,9.101123595505618,0.5417335473515248
42.0,35.9,88.4,1.1,3.7,0.8,0.0,0.8,1,15.769230769230768,0.9442653155228006
44.3,0.0,57.8,2.1,0.9,0.7,0.1,1.4,0,4.705882352941177,0.3201280512204882
48.8,0.0,68.9,3.6,0.3,0.2,0.2,0.7,0,11.818181818181818,0.8150470219435737
48.6,0.0,58.0,3.2,0.6,0.4,0.1,0.7,1,11.2,0.7832167832167831
43.1,0.0,69.2,1.9,0.2,0.1,0.1,0.3,1,22.5,3.2142857142857144
44.5,0.0,72.5,2.2,0.8,0.4,0.3,0.9,0,10.625,0.792910447761194
54.5,0.0,69.9,2.7,0.2,0.1,0.3,0.9,1,17.441860465116278,1.6771019677996422
42.6,0.0,38.4,3.7,1.1,0.4,0.1,0.9,1,11.25,1.1029411764705883
53.7,25.0,61.5,2.1,0.3,0.3,0.5,0.6,1,15.121951219512196,1.527469820152747
30.1,7.1,78.1,1.1,2.6,0.3,0.1,1.1,1,48.23529411764706,5.077399380804954
36.6,29.4,60.9,0.5,2.2,0.5,0.1,1.0,0,24.09090909090909,2.5628626692456478
40.2,16.7,83.3,0.9,2.3,0.5,0.2,1.3,0,16.20689655172414,1.7241379310344829
40.8,38.5,65.4,1.1,0.8,0.6,0.1,1.1,1,8.78048780487805,0.9977827050997783
51.3,0.0,65.0,2.4,0.1,0.3,0.8,0.5,1,23.846153846153847,2.805429864253394
49.0,0.0,67.4,1.3,0.5,0.5,0.2,0.5,0,10.571428571428571,1.2736660929432013
49.4,0.0,50.0,2.6,0.4,0.3,0.3,0.5,1,19.35483870967742,2.3894862604540026
40.4,25.0,81.3,0.9,1.5,0.5,0.1,0.7,1,23.18181818181818,2.8977272727272725
